the_geom,sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,bin_num_trip,mar_ind,sysorder,may_ind,dateStr,dateTxt,display,sysname_alt,yroverchange,yroverchange_bin,trip_type
POINT (-93.2650108 44.977753),25,0,0,44.977753,-93.2650108,"Nice Ride Minnesota (Minneapolis, MN)",2019,41,,,1,10,0,03/31/19 through 05/04/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Minneapolis, MN (Nice Ride Minnesota)",,,2
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2019,11,,,0,12,1,01/02/19 through 02/02/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,2
POINT (-122.410143 37.773833),42,2868372.200000003,178578,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2020,10,0.05994978503038,3,1,2,1,01/01/20 through 02/01/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.577815814234987,-3,1
POINT (-82.9987942 39.9611755),58,11088.63333333333,919,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2019,2,0.000528764136098,1,1,8,1,02/03/19 through 03/02/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",,,1
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2023,7,,,1,1,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,2
POINT (-118.2436849 34.0522342),73,2734,193,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2019,4,0.027275296777841,2,1,9,1,03/31/19 through 05/04/19,2019 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,9999
POINT (-97.7492916839957 30.2703327863944),53,272225,8995,30.2703327863944,-97.7492916839957,"MetroBike Austin (Austin, TX)",2020,6,0.00326364007438,1,0,12,1,05/31/20 through 06/27/20,2020 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",0.339937434827946,2,1
POINT (-75.1652215 39.9525839),43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2021,3,,,0,7,1,02/28/21 through 03/27/21,2021 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,2
POINT (-87.6297982 41.8781136),60,969846.4666666612,86357,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2022,1,0.050804541034211,3,1,4,1,12/29/21 through 01/29/22,2022 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",0.007008255982089,1,1
POINT (-122.410143 37.773833),42,721682.0333333332,56026,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,2,0.624565236778739,4,1,2,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.101312117031857,-1,2
